,Strain,Type,Rating,Effects,Flavor,Description,strain,id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
444,Cookies-Kush,indica,4.5,"Relaxed,Happy,Euphoric,Hungry,Sleepy","Sweet,Earthy,Pungent","Cookies Kush from Barney's Coffeeshop combines Girl Scout Cookies with the Rolex phenotype of OG Kush, resulting in a potent indica cross worthy of 1st place in High Times' 2014 Amsterdam Cannabis Cup in the 'Best Coffeeshop Strain' category.",cookies-kush,1815,2,0,Cookies Kush,,,,Indica,,,"Relaxed, Happy, Hungry, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Lack of Appetite, Insomnia, Depression, Pain","Sweet, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,Copper-Kush,indica,3.9,"Relaxed,Euphoric,Happy,Uplifted,Tingly","Earthy,Pungent,Woody","Copper Kush is an 80% indica cross between Frankenstein and Lemon OG Kush bred by Nine Point Growth Industries in Washington. With aromas of earthy pine and zesty lemon, Copper Kush delivers swift relaxation of both mind and body, and progresses into comfortable focus and introspection over time. Copper Kush is grown in a soil medium, and is available for purchase in Washington’s recreational cannabis stores.",copper-kush,1816,2,0,Copper Kush,,,,Hybrid,,Nine Point Growth Industries,"Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,Corleone-Kush,indica,4.6,"Relaxed,Euphoric,Happy,Hungry,Sleepy","Earthy,Spicy/Herbal,Flowery","Corleone Kush is a mostly indica hybrid cannaibs strain that, like its fictional Godfather namesake, is definitely powerful. Its sour citrus aroma with darker notes of incense is telling of its Pre-98 Bubba Kush and SFV OG Kush genetics. This potent strain flowers in 8 weeks and produces dense flowers. Its heavy indica properties make Corleone Kush an ideal choice for pain relief and insomnia, though its potency may bring on more sativa-like energetic effects for some consumers.",corleone-kush,1817,2,0,Corleone Kush,,,,Hybrid,,The Cali Connection,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Muscle Spasms, Pain, Depression, Insomnia","Earthy, Sweet, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,Cornbread,indica,4.6,"Relaxed,Euphoric,Hungry,Happy,Sleepy","Lemon,Citrus,Woody","Cornbread by Rare Dankness is an 80/20 indica-dominant hybrid strain that crosses Katsu Bubba Kush and Rare Dankness #2. Its aroma is a sweet mix of lemons and incense, and like a perfect appetizer, Cornbread is all you’ll need to invite the appetite before dinner. With heavy, tranquilizing effects that relax the body, Cornbread also makes a great nightcap as you transition into sleep.",cornbread,1818,2,0,Cornbread,,,,Hybrid,,Rare Dankness Seeds,"Relaxed, Hungry, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Lack of Appetite, Pain, Insomnia","Earthy, Citrus",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,Cosmic-Collision,sativa,4.2,"Uplifted,Energetic,Talkative,Euphoric,Relaxed","Sweet,Earthy,Minty","Cosmic Collision is a sativa-dominant strain from MTG Seeds, who crossed Cosmic Charlie and Piña Collision into a fusion that boasts both flavor and potency. The exhale releases a tropical medley of pineapple and kiwi that hints at the Pineapple in this strain’s lineage. Uplifting and euphoric, Cosmic Collision offers a brighter outlook for those suffering from stress and depression.",cosmic-collision,1468,2,0,Cosmic Collision,,,,Hybrid,,MTG Seeds,"Uplifted, Energetic, Talkative, Euphoric, Happy",,"Sweet, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,Cotton-Candy-Kush,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Sweet,Berry,Flowery","Named for its soft, fluffy appearance and intense candied aroma, Cotton Candy Kush is a hybrid that crosses Lavender with Power Plant. The result is a pungent palate of sweet, berry flavors and a floral scent. The euphoric effects will have you feeling like a kid in a candy store, while the relaxing powers will keep stress and pain to a minimum.",cotton-candy-kush,105,1,0,Cotton Candy Kush,,,,Hybrid,0,,,,,,,127,,,0,,,0,,,,,,,,,
450,Cracker-Jack,sativa,4.2,"Energetic,Creative,Focused,Happy,Euphoric","Sweet,Woody,Citrus",This cannabis sativa strain combines Jack Herer with Green Crack to produce a potent buzz.  ,cracker-jack,106,1,0,Cracker Jack,,,,Hybrid,0,Unknown Breeder,"Uplifted, Energetic, Focused, Creative, Talkative, Dry Mouth, Paranoid","Stress, Depression, Lack of Appetite, Nausea",Citrus,,,0,,,0,,,0,,,,,,,,,
451,Crazy-Miss-Hyde,hybrid,4.9,"Uplifted,Happy,Euphoric,Relaxed,Creative","Sweet,Vanilla,Butter","Crazy Miss Hyde is a surprisingly balanced hybrid given her name. She is a lively combination of the uplifting, sativa-dominant Belladona and the powerhouse indica Northern Lights. The buds deliver a potent mixture of earthy flavors like menthol and chocolate with a sweet vanilla influence. The effects tend to be focused in the head, with thought provoking stimulation and creativity that can border on anxiety when over-consumed. With the right dosing the indica influence levels out the effects of Crazy Miss Hyde and induces a relaxing sense of euphoria.",crazy-miss-hyde,5492,2,0,Crazy Miss Hyde,,,,Hybrid,,Samsara Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,Cream-Caramel,indica,4.2,"Relaxed,Happy,Sleepy,Tingly,Focused","Butter,Sweet,Honey","Cream Caramel, named after its sweet caramel aroma, is a 90% indica cross between BlueBlack, Maple Leaf Indica, and White Rhino. Covered in a sugary coat of THC-rich resin, Cream Caramel delivers heavy, relaxing indica effects that soothe the mind and body. Though originally bred by Sweet Seeds in Spain, Royal Queen Seeds have also championed their own rendition called Royal Caramel. Early October is the finish line for outdoor Cream Caramel flowers, while indoor gardens should be harvested after a 7 to 8 week flowering period.",cream-caramel,1819,2,0,Cream Caramel,,,,Hybrid,,Sweet Seeds,"Relaxed, Happy, Sleepy, Euphoric, Focused, Dry Mouth, Anxious","Stress, Insomnia, Depression, Pain","Sweet, Honey, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,Critical-Bilbo,hybrid,4.4,"Relaxed,Happy,Hungry,Sleepy,Euphoric","Tobacco,Sweet,Earthy","Critical Bilbo is a powerful indica-dominant strain that holds several Cannabis Cup championships under its belt. A legend among Spain’s cannabis consumers, Critical Bilbo’s resinous, sage-green buds emit a sweet, fruity aroma. Its effects are heavy and narcotic, a top-shelf strain oftentimes too intoxicating for novices. This strain grows best indoors or in greenhouse gardens, and flowers in just 45 to 50 days.",critical-bilbo,5408,2,0,Critical Bilbo,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,Critical-Cheese,hybrid,4.2,"Euphoric,Focused,Happy,Relaxed,Energetic","Cheese,Earthy,Pungent","Critical Cheese by Dinafem is a sativa-dominant hybrid that borrows its genetics from Cheese and Critical Plus. This outstanding crossbreed is hardy, fast-flowering, and finishes with large, dense buds that are dripping with resinous oils. Critical Cheese has a pungent aroma that combines lemons, pine, and the sharp cheesy notes that have become the signature of Cheese varieties. The effects are immediate, uplifting, and euphoric. They are also known to make consumers talkative, which makes Critical Cheese a good choice for overcoming any social anxieties.",critical-cheese,5897,2,0,Critical Cheese,,,,Hybrid,,Dinafem Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,Critical-Haze,hybrid,4.3,"Relaxed,Happy,Uplifted,Hungry,Giggly","Citrus,Earthy,Pine","Critical Haze by Mr. Nice Seeds is an indica-dominant cross between Critical Mass and Afghan Haze. This hybrid inherits the sweet citrus smell from a Haze ancestor, an ultra-sativa strain that tends to induce cerebrally-focused psychoactivity. Critical Haze’s effects, however, are balanced by its indica genetics which pull in a heavier full-body relaxation. The bridled buzz of Critical Haze makes this hybrid a great choice for anyone who typically gets anxious or paranoid. Patients treating muscle tension, multiple sclerosis, or appetite loss may also benefit from Critical Haze’s even but potent effects. Most phenotypes flower in 8 to 10 weeks, but those expressing more sativa-like genetics may take an additional two weeks of flowering. ",critical-haze,7106,2,0,Critical Haze,,,,Hybrid,,Mr. Nice,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Critical-Hog,indica,4.2,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Earthy,Woody,Flowery","Critical Hog from T.H. Seeds is a commercial grower’s dream, producing hefty colas that stay true to its Critical Mass genetics with the added influence of Hog’s Cannabis Cup winning legacy. After crossing the two potent indicas, Critical Hog puts off a sweet aroma of earthy and floral flavors that bring on relaxing body effects.",critical-hog,1820,2,0,Critical Hog,,,,Hybrid,,T.H.Seeds,"Relaxed, Happy, Hungry, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Pain, Lack of Appetite",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,Critical-Jack,hybrid,4.4,"Energetic,Creative,Happy,Focused,Uplifted","Pine,Citrus,Woody","Critical Jack, a hybrid cross between Critical Plus and Jack Herer, delivers functional cerebral effects with a flavorful blend of lemon, pine, and floral aromas. Its effects are light on the body and stimulating to the mind, allowing one to fixate their attention strongly on whatever task is at hand. Uplifting qualities make Critical Jack a popular daytime remedy for depression, appetite loss, and headaches. Critical Jack’s harvest falls between late September and early October outdoors, while indoor gardens will finish around day 60 of flowering.",critical-jack,7318,2,0,Critical Jack,,,,Hybrid,,Dinafem Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Critical-Kali-Mist,sativa,4.6,"Creative,Focused,Uplifted,Happy,Euphoric","Pine,Sweet,Earthy","Critical Kali Mist from Delicious Seeds was bred to be brilliant. Its genetics are a pairing of Critical Mass, an indica known for its growth of large sticky buds, and Kali Mist, a multi-award winning sativa. The result is a powerful and resinous sativa that produces large, dense flowers after about 70 days. With earthy and pine flavors, this bud provides uplifting effects and endless fits of laughter.",critical-kali-mist,1469,2,0,Critical Kali Mist,,,,Sativa,,,"Creative, Focused, Uplifted, Happy, Euphoric, Paranoid, Dry Mouth","Depression, Stress, Muscle Spasms","Pine, Sweet, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,Critical-Kush,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Earthy,Pungent,Sweet","Critical Kush from Barney’s Farm is a mostly indica strain that blends together two famed cannabis staples, Critical Mass and OG Kush. Aromatic notes of earthiness and spice usher in a calming sensation that relaxes the mind and body. Critical Kush pairs a staggeringly high THC content with a moderate dose of CBD, making this strain a perfect nighttime medication for pain, stress, insomnia, and muscle spasms. Growers cultivating this strain indoors will wait 50 to 60 days for Critical Kush to complete its flowering cycle.",critical-kush,1821,2,0,Critical Kush,,,,Indica,,,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid","Depression, Stress, Pain, Lack of Appetite, Insomnia",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Critical-Mass,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Pungent,Sweet","Critical Mass is a combination of Afghani and Skunk #1 that originated from the breeder Mr. Nice Seed Bank. With a large 'critical mass' of production, branches tend to snap from the weight of these dense buds. Flowering time is approximately 6-8 weeks, with a heavy leaf to flower ratio. However, due to the large production of flowering, this strain is susceptible to mold which can be reduced by growing indoors to reduce humidity. THC levels of this strain may reach 19-22%.",critical-mass,107,1,0,Critical Mass,,,,Hybrid,"10, 370",Seed Bank,"Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Insomnia, Inflammation","Earthy, Sweet",,,0,,,0,,,0,,,,,,,,,
461,Critical-Sensi-Star,indica,4.2,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Citrus,Sweet,Lemon","This indica-heavy cross, originally bred by Delicious Seeds, is the love-child of Critical Mass and Sensi Star. Known for producing exceptionally sticky buds, Critical Sensi Star is typically short and dense in stature. Zesty hints of citrus fruit like lemon and grapefruit mix with the strong skunky odor to create a complex flavor combination. The relaxing effects will help any consumer find their happy place, even when coping with insomnia, muscle spasms, or high stress levels.",critical-sensi-star,1823,2,0,Critical Sensi Star,,,,Hybrid,,Delicious Seeds,"Relaxed, Happy, Sleepy, Uplifted, Tingly, Dry Mouth, Paranoid","Stress, Pain, Depression, Muscle Spasms, Insomnia","Citrus, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,Critical-Skunk,hybrid,4.5,"Happy,Relaxed,Creative,Hungry,Aroused","Earthy,Skunk","Critical Skunk is a hybrid bred by Mr. Nice Seeds and parented by Skunk #1 and Afghani. Successful in all environments, growers can expect flowers between 6 and 9 weeks.",critical-skunk,5418,2,0,Critical Skunk,,,,Hybrid,,Mr. Nice,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,Critical-Widow,hybrid,4.3,"Relaxed,Euphoric,Uplifted,Focused,Sleepy","Citrus,Pungent,Sweet","Critical Widow by Mr. Nice Seeds combines a resinous White Widow hybrid with the heavy-hitting indica Critical Mass. This mostly indica strain rewards growers with high yields of fruity, crystal-packed buds that finish flowering in 7 to 9 weeks.",critical-widow,6068,2,0,Critical Widow,,,,Hybrid,,Mr. Nice,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,Critters-Cookies,hybrid,3.5,"Uplifted,Tingly,Relaxed,Euphoric,Aroused","Lemon,Earthy,Pungent","Critters Cookies blends the power of Cookies’ parentage with the energy driven hybrid White Fire Alien OG to offer an aroma of distinct lemon funk with a sweet cakiness that lingers in the air. The strain is a balanced 60/40 sativa-leaning cross that is equal parts energizing and relaxing, and is naturally suited for physical discomfort and pain.",critters-cookies,4050,2,0,Critters Cookies,,,,Hybrid,,GREENLIFE Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,Cronuts,hybrid,4.7,None,None,"Cronuts is another twist on the West Coast wonder, Girl Scout Cookies. Created by Alphakronik Genes as the first entry in their Le Patisserie Series, this GSC (Forum Cut) and Sin City Kush cross improves the yield while enhancing the terpene profile and the purple coloration. Cronuts aroma is sweet and woody with bread and fuel notes that lead to a clean floral finish.",cronuts,6401,2,0,Cronuts,,,,Hybrid,,Alpha Kronik Genes,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Crosswalker,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Blueberry,Pine","Crosswalker is a 70/30 indica-dominant cannabis strain that crosses Skywalker OG and Blueberry. When consumed, you will notice an earthy, sweet, and citrus undertone that lingers in your mouth. You’ll be left with a happy and euphoric feeling, but be careful consuming too much of this strain at once, as you may be on the couch longer than you would have expected.",crosswalker,1824,2,0,Crosswalker,,,,Indica,,,"Relaxed, Happy, Euphoric, Uplifted, Creative, Dry Mouth","Depression, Pain, Inflammation, Insomnia","Sweet, Blueberry, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,Crouching-Tiger-Hidden-Alien,indica,4.8,"Relaxed,Happy,Euphoric,Tingly,Uplifted","Pine,Spicy/Herbal,Earthy","Crouching Tiger Hidden Alien is another indica staple from Exotic Genetix, who combined Tiger’s Milk with Starfighter to create this powerhouse strain. Flavors of pine and spice come through on the inhale while ushering in full-body tranquility. Its heavy-handed sedation makes Crouching Tiger Hidden Alien a perfect choice for sleepless nights or for getting rest and relaxation. ",crouching-tiger-hidden-alien,1825,2,0,Crouching Tiger Hidden Alien,,,,Indica,,,"Relaxed, Happy, Euphoric, Tingly, Uplifted, Dry Mouth","Stress, Inflammation, Muscle Spasms, Nausea, Pain","Earthy, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Crown-Og,indica,4.7,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Diesel,Earthy,Pepper","Crown OG is an indica strain that stays true to its OG roots with a sweet pine aroma and potent euphoric effects. While Crown OG may take a toll on your memory and cognitive sharpness, its crushing THC content is perfect for patients suffering severe pain or insomnia. This strain took 1st place in the 2015 High Times Denver Cannabis Cup as “Best Indica Concentrate,” earning the victorious stripes its name sets forth.",crown-og,1826,2,0,Crown OG,,,,Hybrid,,Crown Genetics,"Happy, Euphoric, Relaxed, Sleepy, Hungry, Dry Mouth","Insomnia, Stress, Depression, Lack of Appetite, Pain",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Crown-Royale,indica,4.7,"Relaxed,Happy,Euphoric,Sleepy,Aroused","Sweet,Flowery,Berry","Crown Royale is a sweet indica-dominant hybrid that blends the best of parent strains Blueberry and Purple Kush together. This flower is a feast for the eyes with bright purple hues and deep green foliage. Just as delightful on the palate, Crown Royale exhibits notes of the forest floor with piney aromas and a telltale berry tartness. These scents show up in the flavor as a sweeter, fruiter pine. Enjoy this strain for pervasive physical effects that dull pain, nausea, and stress.    ",crown-royale,1827,2,0,Crown Royale,,,,Indica,,,"Euphoric, Happy, Relaxed, Sleepy, Horny, Dry Mouth","Pain, Stress, Depression, Nausea","Sweet, Blueberry",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,Crypt,hybrid,4.4,"Relaxed,Euphoric,Focused,Happy,Uplifted","Sweet,Cheese,Pungent","Crypt from Northern California is an indica-dominant hybrid with a mysterious lineage. Its aroma falls on the border between sweet and sour, blending pine, lemon, and cheese flavors.",crypt,6528,2,0,Crypt,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,Crystal-Coma,sativa,4.6,"Happy,Uplifted,Euphoric,Focused,Creative","Flowery,Earthy,Citrus","Crystal Coma is a rare sativa-dominant hybrid from California that induces deep, trance-like effects. Its name foreshadows the debilitating relaxation to come, a long-lasting calm that shuts off mental overactivity. Pastel green breaks through this sativa’s thick blanket of crystal trichomes that contributes to its staggeringly high THC content of up to 26 percent. Crystal Coma’s genetics are long lost, but myth has it that the origins lie in Cheese and Skunk #1. Anxiety, PTSD, pain, and sleeplessness are no match for Crystal Coma’s potency, a medicine that is highly recommended for nighttime use. Crystal Coma took 3rd place in the 2014 L.A. Cannabis Cup.",crystal-coma,1470,2,0,Crystal Coma,,,,Hybrid,,Unknown Breeder,"Euphoric, Happy, Uplifted, Energetic, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Earthy, Citrus, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Crystal-Gayle,hybrid,4.4,"Focused,Creative,Euphoric,Happy,Hungry","Diesel,Earthy,Skunk","Crystal Gayle is an indica-dominant strain descended from Northern Lights #1. Little else is known about this strain’s lineage, but its fast-paced buzz and productive, focused effects make one wonder what other strains parented this gem of hybrid. Crystal Gayle buds shine and shimmer with a thick coat of sparkling trichomes, a likely source for this strain’s name. Intense citrus coupled with a diesel bite make up Crystal Gayle’s aroma, which is accented by subtle notes of earthy pine. Its onset may be slow, but with time, this hybrid will launch you into a fixated, relaxed state that borders on trance-like, all while bringing a sharp edge to your appetite.",crystal-gayle,5097,2,0,Crystal Gayle,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,Crystalberry,indica,4.5,"Aroused,Relaxed,Uplifted,Giggly,Happy","Berry,Blueberry,Grape","Crystalberry is an indica-dominant cannabis strain crossed using two popular and well-loved strains, Sensi Star and DJ Short’s Blueberry. Your senses will instantly notice the notes of sweet blueberry and lemon throughout. The effects are led by a long-lasting euphoric buzz followed by full-body relaxation help you manage pain and tension.",crystalberry,592,1,0,Crystalberry,,,,Hybrid,"66, 268",Cannabis Pros,"Sleepy, Hungry, Horny, Relaxed, Tingly, Dry Mouth","Insomnia, Pain, Stress, Nausea","Sweet, Berry, Blueberry",,,0,,,0,,,0,,,,,,,,,
474,Cuvee,indica,4.5,"Euphoric,Happy,Relaxed,Giggly,Tingly","Earthy,Grape,Berry","A collaboration from TGA Genetics and Aficionado Seeds, Cuvee was created crossing Space Queen and the clone-only Pinot Noir. This hybrid plant will hit you fast with a relaxing body high while you taste sweet cherries and chocolate. Rich flavor paired with copious amounts of resin makes Cuvee a great strain for making cannabis concentrates.",cuvee,1828,2,0,Cuvee,,,,Indica,,,"Euphoric, Relaxed, Uplifted, Happy, Anxious, Dry Mouth","Stress, Pain, Depression, Insomnia","Sweet, Citrus",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,Dj-Andy-Williams,sativa,5.0,"Creative,Energetic",None,"DJ Andy Williams (also known as DJ Andy) is a heartfelt dedication in the guise of a powerful sativa-dominant strain. This strain was named in memoriam of DJ Andy Williams, also known as DJ A-Dog, who passed away of leukemia at the age of 38. A cross between Blue Dream and Super Lemon Haze, DJ Andy delivers bright flavors of citrus, vanilla, and herbs. DJ Andy starts with a creative mental state and an invigorating body buzz. The physical effects persist and mellow with time while remaining uplifting, keeping the consumer off the couch. This is a solid strain to help manage stress and depression without debilitating sedation.  ",dj-andy-williams,1475,2,0,DJ Andy Williams,,,,Sativa,,,"Creative, Energetic",,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,Dj-Short-Blueberry,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Blueberry,Sweet,Berry","DJ Short Blueberry is a living legend. This is, was, and forever will be the west coast Blueberry varietal. The strain is sought after and has been spliced into many different hybridized strains. DSBs genetics stem from DJ Short’s travels through Central America and Southeast Asia, where he gathered robust landrace genetics that would later blossom into some of the most legendary cannabis strains on the planet. Finding a true cut of DSB is harder than it sounds, but if you do, savor it. You are literally igniting a piece of cannabis history. Expect beautiful sedative effects that are second only to the incredible berry flavor of this flower.  ",dj-short-blueberry,114,1,0,DJ Short Blueberry,,,,Indica,0,DJ Short,"Relaxed, Happy, Euphoric, Uplifted, Creative, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression, Lack of Appetite","Blueberry, Sweet, Berry",,,0,,,0,,,0,,,,,,,,,
477,Dairy-Queen,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Creative","Cheese,Sweet,Earthy","Dairy Queen is a strain that truly lives up to its name with its unique cherry and cheese aroma—yes, those combine to make a good thing. Its flavor has a smoothness that many users describe as creamy, just like your favorite frozen dairy treat. This hybrid is slightly more sativa-dominant and is great for day or night use as it provides relaxation without sedation. Originally bred by TGA Subcool Seeds, this cross between Cheese and Space Queen seems to have up to three different phenotypes, so appearance can vary. In general, plants will be bushy and flower in 7-8 weeks. Dairy Queen’s unique aroma is very potent, so it may not be the best strain when discretion is required.",dairy-queen,108,1,0,Dairy Queen,,,,Hybrid,0,TGA Seeds,,,,,,0,,,0,,,0,,,,,,,,,
478,Dakini-Kush,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Giggly","Earthy,Coffee,Spicy/Herbal","Dakini Kush is the heavy indica-dominant cross of Pre-98 Bubba Kush and Hindu Kush. This strain’s sweet and herbaceous flavors leave the taste of hops, caramel, and berry on the palate. Dakini Kush offers traditional, if not heavier than average, effects that elevate the mind and relax the body. This strain is a quality choice at the end of the day to enhance mood, diminish pain, and promote rest. Dakini Kush has a healthy yield and a quick nine week flowering time.  ",dakini-kush,1829,2,0,Dakini Kush,,,,Hybrid,,Centennial Seeds,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious","Insomnia, Pain, Stress, Depression","Coffee, Berry, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,Damn-Sour,sativa,4.0,"Hungry,Happy,Tingly,Uplifted,Creative","Sweet,Earthy,Ammonia","Damn Sour is a mostly sativa strain bred by Green House Seeds using Sage N Sour genetics. As its name suggests, this cannabis variety inherits a distinctive sour aroma with funky hints of diesel. Its effects immediately flood the cerebral space with intense euphoria which may overwhelm the novice consumer. The typically high THC content of Damn Sour makes this strain a good choice for patients seeking potent relief of stubborn aches or appetite loss without having to sacrifice daytime energy.",damn-sour,1471,2,0,Damn Sour,,,,Sativa,,,"Hungry, Happy, Tingly, Uplifted, Creative, Dry Mouth, Paranoid","Depression, Nausea, Pain","Sweet, Earthy, Ammonia",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,Damnesia,hybrid,4.2,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Spicy/Herbal,Pepper,Earthy","A spin-off of the Amsterdam staple Amnesia Haze, Strain Hunters Seeds has crossed the Haze with another coffee shop powerhouse, AMS, to create a long-lasting hybrid. Damnesia has a pungent scent of spicy incense and black pepper. The strong cerebral effects are great for socializing and activating your creative juices but they can creep up slowly. Many search for this strain when looking for an uplifting, energetic solution to pain issues or when suffering from a lack of appetite.",damnesia,6732,2,0,Damnesia,,,,Hybrid,,Strain Hunters Seed Bank,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Dance-World,sativa,4.6,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Earthy,Citrus,Spicy/Herbal","Dance World is a high-CBD sativa strain bred by Royal Queen Seeds in Spain. A cross between Dancehall and Juanita La Lagrimosa, Dance World’s heritage stems primarily from Afghani and Mexican genetics. From its Dancehall parent, Dance World inherits active, uplifting effects that motivate productivity and a positive mindset. Earthy and spicy flavors dominate the palate, but subtle fruity notes bring Dance World sweet undertones. While Dance World shows its sativa genetics in its energetic effects, Dance World plants are more indica in stature and flower after just 8 weeks.",dance-world,1472,2,0,Dance World,,,,Hybrid,,Royal Queen,"Relaxed, Happy, Uplifted, Euphoric, Talkative, Dry Mouth","Stress, Depression, Pain, Inflammation, Lack of Appetite","Citrus, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
